PopID,elev_m
2,1916.973
3,1875.888
4,1921.03
5,1791.531
6,1666.042
7,2020.073
8,2155.566
9,1749.226
10,2040.328
11,1807.462
15,2008.2
17,2272.259
21,2719.664
24,2040.255
25,1979.556
45,1891.936
46,1773.242
47,2015.277
48,1888.645
49,2182.001
51,1971.104
53,1974.992
57,2177.355
58,1716.215
59,1657.61
60,1990.154
61,2017.201
62,1891.929
63,1805.617
64,1779.949
65,1746.107
66,2135.997
67,2291.433
69,2204.746
71,1711.957
72,1646.254
73,1867.714
74,2374.011
75,2196.223
77,1836.23
79,1770.846
80,1830.609
81,1779.778
82,1875.274
87,1691.959
88,1691.474
89,1767.864
90,1855.055
92,1805.358
102,2105.311
103,1841.153
104,1814.914
107,1920.643
108,1852.36
109,1803.543
110,2308.418
111,2055.214
112,2047.351
113,2241.829
114,1964.108
116,2169.822
119,2118.404
120,2152.909
122,2130.211
135,1756.943
138,1867.076
150,1749.334
152,2266.273
153,2157.523
156,2210.775
158,1720.176
160,2055.091
161,1919.185
162,1542.88
163,1826.565
167,1940.32
168,2299.519
169,1777.227
170,2063.731
171,1953.824
172,2077.444
173,1922.507
174,1891.512
176,2005.715
177,2152.569
178,1764.762
180,2084.325
181,2023.71
182,1865.317
184,2073.019
185,2025.94
186,2251.331
187,1949.247
188,1827.447
189,1775.296
190,2363.763
191,1735.067
192,1671.524
194,1787.415
195,2098.872
196,1671.387
197,1952.423
198,1886.893
199,1768.977
200,1807.255
201,1801.91
202,1986.837
203,1771.707
207,1895.985
208,1843.751
254,2225.707
255,1854.011
256,1773.385
262,1687.795
263,1776.954
264,1787.03
265,1600.928
266,1727.958
268,1819.227
269,1702.059
282,2349.515
283,1845.71
284,1944.349
285,1878.508
286,1679.299
287,1792.787
288,1463.241
290,1807.762
291,1942.727
292,2165.563
293,2150.682
306,1391.338
307,1953.172
308,1886.049
312,1949.16
313,1562.682
314,1852.506
315,1720.631
316,1681.797
317,1403.544
318,1529.44
319,1721.002
321,2156.102
322,2015.127
323,2116.833
324,2033.379
325,1993.168
326,1768.839
327,2218.706
328,1768.884
329,2261.865
333,2145.278
335,1738.057
336,1776.496
337,1945.144
12,2412.508
16,2220.02
70,2539.438
78,2386.55
124,2326.994
125,2355.378
128,2355.19
146,2007.975
151,2087.003
155,2426.273
159,2312.704
164,2327.885
175,1987.572
179,2136.625
193,2046.395
210,2182.648
212,1963.635
213,2619.965
214,2588.823
215,2199.269
216,1914.981
217,2335.761
218,2314.536
219,2341.699
226,2323.559
227,2429.447
228,2302.133
231,2303.01
232,1762.969
233,1810.525
234,2129.514
235,2559.844
236,2162.636
237,2023.759
238,1202.259
240,2555.023
241,2107.445
251,2478.914
253,2253.256
257,2371.865
258,2332.494
259,2328.817
260,2347.233
261,1962.461
270,2479.097
271,2523.011
272,1993.085
273,1890.859
274,2668.899
275,2479.503
276,2485.524
277,2617.422
278,2583.163
279,2383.056
280,2485.534
281,2328.523
289,2065.501
294,2054.475
295,2377.692
296,2566.661
297,2660.409
298,2111.511
299,2428.52
300,1995.193
301,2015.277
302,2252.01
303,2226.491
304,2274.278
305,2435.864
309,2634.19
310,2770.607
311,1834.095
320,2249.731
330,2460.3
331,2474.124
332,2404.264
334,2393.194
