sample_year,season,lizard_count,BOER,LATR,PRGL,SCBR
1989,F,155,10.263565891472869,5.678490028490028,10.31090909090909,3.851829268292683
1990,F,107,4.179667149059334,2.2030492424242425,3.680158013544018,2.7263961813842483
1990,S,42,4.668230994152046,2.7382151898734177,3.4200104166666665,1.4374355670103094
1990,W,138,10.58876811594203,2.9890620031796504,4.755444444444445,3.386130536130536
1991,F,49,4.990762812872467,2.0524518388791595,2.472629482071713,1.037409200968523
1991,S,38,4.7292483660130715,2.7313870541611625,2.798336956521739,2.4101216545012165
1991,W,74,4.988304552590267,2.5321380846325168,3.154066985645933,2.287336448598131
1992,F,29,3.5095302927161334,2.045441616766467,2.621948529411765,0.5698057602143336
1992,S,6,2.38046,2.0396672504378284,2.6661676646706587,0.5618740629685157
1992,W,46,3.072957446808511,2.0582288828337876,2.3819977924944813,0.3849889135254989
1993,F,33,2.1778053204353083,1.9421676300578035,2.591767676767677,0.44577162238552853
1993,S,11,1.9697260273972603,1.8775088715400994,2.3362651997683845,0.3167494226327945
1993,W,20,2.5566384009691094,2.074702380952381,1.4245398936170213,0.4196277602523659
1994,F,40,2.18671511627907,2.319427036705461,2.0229237002025657,0.3716902204635387
1994,S,12,2.339322709163347,1.7512481751824818,1.8614241293532339,0.18441176470588236
1994,W,38,2.158562708102109,1.7520461538461538,1.5067249698431846,0.39075742574257427
1995,F,56,1.9169174757281553,2.2829046762589926,2.9353403565640193,0.2205530474040632
1995,S,14,2.124745762711864,2.6158237145855194,2.6435553633217994,0.2454704301075269
1995,W,49,2.457349753694581,2.2205854126679463,1.8525799793601652,0.28387909319899246
1996,F,21,2.781507490636704,3.2235444444444443,2.995004405286344,0.3674800290486565
1996,S,24,1.580824129141886,2.4240840840840843,2.398136142625608,0.2100805369127517
1996,W,44,1.7082709163346614,2.3153887399463806,1.8706015037593986,0.25993061578490895
1997,F,50,3.4758079847908747,2.8539429175475686,4.44940243902439,0.6045072190834903
1997,S,21,2.0767437557816835,3.2583678756476684,3.8345405405405404,0.43321565617805063
1997,W,44,3.216027397260274,2.6737373737373735,2.499018743109151,0.12885714285714286
1998,F,35,2.693536324786325,2.510955347871236,4.056292134831461,0.38987475280158207
1998,S,18,2.9192376237623763,2.988984088127295,3.919306358381503,0.5815800636267232
1998,W,34,4.255977130977131,3.2875510204081633,2.3271995926680242,0.031176470588235295
1999,F,28,5.499565756823821,3.0738658536585364,3.539988023952096,0.30554909090909094
1999,S,8,2.3900202839756592,2.837142857142857,3.7942420814479636,0.13710284886528248
1999,W,31,3.531991341991342,2.5366666666666666,2.285872855701312,0.01108108108108108
2000,F,13,4.096674082313682,2.6714129244249727,3.850752427184466,0.15083333333333335
2000,S,16,3.203530612244898,2.333766632548618,3.500978773584906,0.04807692307692308
2000,W,34,3.1162967289719625,2.9310935441370223,2.043702564102564,0.03638888888888889
2001,F,27,2.0431896551724136,2.5168577494692146,3.6031208302446256,0.2132272570044967
2001,S,20,2.765699152542373,2.679356435643564,4.299742883379247,0.09943721286370598
2001,W,14,3.9179078014184396,2.689466327827192,1.7573648134044173,0.011529411764705884
2002,F,27,3.136040609137056,2.7049032258064516,2.7502876797998748,0.3098692307692308
2002,S,13,2.2422222222222223,2.1976465441819775,2.4358298129149065,0.04394495412844037
2002,W,29,2.551899736147757,2.158290879211175,1.4746742748454589,0.021333333333333333
2003,F,50,2.2892346424974823,2.0423996971990914,2.6251432664756447,0.0791002044989775
2003,S,10,3.6159598214285715,2.3347819314641747,2.925055172413793,0.18267669699090272
2003,W,40,3.789297124600639,2.411936056838366,1.7101209677419356,0.03024896265560166
2004,F,59,1.5375512104283053,2.208815592203898,3.2639196428571426,0.29754827586206894
2004,S,18,0.8595648670427075,2.7160795454545457,3.4471364452423696,0.17444259567387688
2004,W,34,1.5731608548931384,2.337321063394683,1.9496206896551724,NA
2005,F,78,2.3091091954022986,2.413937699680511,3.4344684684684683,0.4196115702479339
2005,S,22,0.9634433962264151,2.523555913113435,3.378821811100292,0.2921639488761569
2005,W,20,1.5436802030456853,2.3433161953727506,1.6561227436823105,0.17735971943887777
2006,F,18,1.912462760675273,2.794647364513734,2.5662451811873552,0.9896578538102644
2006,S,23,1.3436738519212745,2.2777777777777777,1.772005988023952,NA
2006,W,58,1.4927706057596821,1.7778710821998818,1.4296537396121884,NA
