Year,Rats,Type,Plot,perc_CN,Ppt
2007,pre,Mixed,Eastern,0.672566371681416,4699
2007,pre,Mono,Holei 1,0.2631578947368421,4699
2007,pre,Mono,Kaula,0.2777777777777778,4699
2007,pre,Mono,Papala,0.7323943661971831,4699
2007,pre,Mixed,Paradise,0.6666666666666666,4699
2007,pre,Mixed,Sand,0.3333333333333333,4699
2007,pre,Mixed,Holei 2,0.1322314049586777,4699
2008,pre,Mixed,Eastern,0.671875,3766.8
2008,pre,Mono,Holei 1,0.6190476190476191,3766.8
2008,pre,Mono,Kaula,0.3333333333333333,3766.8
2008,pre,Mono,Papala,1,3766.8
2008,pre,Mixed,Paradise,0.6875,3766.8
2008,pre,Mixed,Sand,0.37037037037037035,3766.8
2008,pre,Mixed,Holei 2,0.09876543209876543,3766.8
2009,pre,Mixed,Eastern,0.574468085106383,3810
2009,pre,Mono,Kaula,0.5,3810
2009,pre,Mixed,Paradise,0.7692307692307693,3810
2009,pre,Mixed,Holei 2,0.2459016393442623,3810
2010,pre,Mixed,Eastern,0.625,4404.4
2010,pre,Mono,Holei 1,0.6,4404.4
2010,pre,Mono,Papala,0.946236559139785,4404.4
2010,pre,Mixed,Paradise,0.53125,4404.4
2010,pre,Mixed,Sand,0.47619047619047616,4404.4
2010,pre,Mixed,Holei 2,0.25,4404.4
2014,post,Mixed,Eastern,0.7739130434782608,4074.2
2014,post,Mono,Holei 1,0.7029702970297029,4074.2
2014,post,Mono,Kaula,0.6022727272727273,4074.2
2014,post,Mono,Papala,0.6858638743455497,4074.2
2014,post,Mixed,Paradise,0.8783783783783784,4074.2
2014,post,Mixed,Sand,0.7101449275362319,4074.2
2015,post,Mixed,Eastern,0.8521739130434782,6555.7
2015,post,Mono,Holei 1,0.9863247863247864,6555.7
2015,post,Mono,Kaula,0.6757679180887372,6555.7
2015,post,Mono,Papala,0.859504132231405,6555.7
2015,post,Mixed,Paradise,0.6470588235294118,6555.7
2015,post,Mixed,Sand,0.55,6555.7
2015,post,Mixed,Holei 2,0.08771929824561403,6555.7
2016,post,Mixed,Eastern,0.6666666666666666,4980.9
2016,post,Mono,Holei 1,0.8721910112359551,4980.9
2016,post,Mono,Kaula,0.9681528662420382,4980.9
2016,post,Mono,Papala,0.8768873403019745,4980.9
2016,post,Mixed,Paradise,0.8086303939962477,4980.9
2016,post,Mixed,Sand,0.7829457364341085,4980.9
2016,post,Mixed,Holei 2,0.19455252918287938,4980.9
